Area_Name,Year,Cases_Property_Stolen
Andhra Pradesh,2008,8219
Arunachal Pradesh,2008,245
Assam,2008,3147
Bihar,2008,3414
Chandigarh,2008,257
Chhattisgarh,2008,4112
Dadra & Nagar Haveli,2008,49
Daman & Diu,2008,45
Delhi,2008,1926
Goa,2008,291
Gujarat,2008,4932
Haryana,2008,4249
Himachal Pradesh,2008,872
Jammu & Kashmir,2008,1332
Jharkhand,2008,1375
Karnataka,2008,6258
Kerala,2008,3533
Lakshadweep,2008,3
Madhya Pradesh,2008,11072
Maharashtra,2008,15170
Manipur,2008,76
Meghalaya,2008,166
Mizoram,2008,337
Nagaland,2008,120
Odisha,2008,3064
Puducherry,2008,90
Punjab,2008,2621
Rajasthan,2008,4526
Sikkim,2008,81
Tamil Nadu,2008,3849
Tripura,2008,218
Uttar Pradesh,2008,4142
Uttarakhand,2008,376
West Bengal,2008,462
Andaman & Nicobar Islands,2009,86
Andhra Pradesh,2009,7702
Arunachal Pradesh,2009,201
Assam,2009,3149
Bihar,2009,3566
Chandigarh,2009,241
Chhattisgarh,2009,3975
Dadra & Nagar Haveli,2009,43
Daman & Diu,2009,33
Delhi,2009,1733
Goa,2009,283
Gujarat,2009,4385
Haryana,2009,4077
Himachal Pradesh,2009,779
Jammu & Kashmir,2009,1550
Jharkhand,2009,1392
Karnataka,2009,6629
Kerala,2009,3301
Lakshadweep,2009,1
Madhya Pradesh,2009,10661
Maharashtra,2009,15145
Manipur,2009,68
Meghalaya,2009,135
Mizoram,2009,381
Nagaland,2009,82
Odisha,2009,2937
Puducherry,2009,71
Punjab,2009,2507
Rajasthan,2009,5022
Sikkim,2009,93
Tamil Nadu,2009,4221
Tripura,2009,230
Uttar Pradesh,2009,4084
Uttarakhand,2009,276
West Bengal,2009,329
Andaman & Nicobar Islands,2010,80
Andhra Pradesh,2010,8126
Arunachal Pradesh,2010,211
Assam,2010,3458
Bihar,2010,3437
Chandigarh,2010,236
Chhattisgarh,2010,3711
Dadra & Nagar Haveli,2010,25
Daman & Diu,2010,27
Delhi,2010,1502
Goa,2010,344
Gujarat,2010,3850
Haryana,2010,4445
Himachal Pradesh,2010,743
Jammu & Kashmir,2010,1385
Jharkhand,2010,1357
Karnataka,2010,6059
Kerala,2010,2468
Lakshadweep,2010,3
Madhya Pradesh,2010,9897
Maharashtra,2010,15724
Manipur,2010,66
Meghalaya,2010,154
Mizoram,2010,425
Nagaland,2010,62
Odisha,2010,2855
Puducherry,2010,72
Punjab,2010,2660
Rajasthan,2010,4454
Sikkim,2010,72
Tamil Nadu,2010,4715
Tripura,2010,217
Uttar Pradesh,2010,4073
Uttarakhand,2010,294
West Bengal,2010,388
Andaman & Nicobar Islands,2001,10
Andhra Pradesh,2001,316
Arunachal Pradesh,2001,41
Assam,2001,374
Bihar,2001,922
Chandigarh,2001,26
Chhattisgarh,2001,147
Dadra & Nagar Haveli,2001,13
Daman & Diu,2001,5
Delhi,2001,479
Goa,2001,20
Gujarat,2001,1348
Haryana,2001,530
Himachal Pradesh,2001,59
Jammu & Kashmir,2001,82
Jharkhand,2001,153
Karnataka,2001,427
Kerala,2001,279
Lakshadweep,2001,1
Madhya Pradesh,2001,481
Maharashtra,2001,1436
Manipur,2001,33
Meghalaya,2001,19
Mizoram,2001,22
Nagaland,2001,3
Odisha,2001,224
Puducherry,2001,5
Punjab,2001,368
Rajasthan,2001,626
Sikkim,2001,1
Tamil Nadu,2001,313
Tripura,2001,4
Uttar Pradesh,2001,991
Uttarakhand,2001,171
West Bengal,2001,486
Andaman & Nicobar Islands,2002,4
Andhra Pradesh,2002,382
Arunachal Pradesh,2002,23
Assam,2002,558
Bihar,2002,1214
Chandigarh,2002,35
Chhattisgarh,2002,92
Dadra & Nagar Haveli,2002,12
Daman & Diu,2002,5
Delhi,2002,444
Goa,2002,16
Gujarat,2002,1188
Haryana,2002,524
Himachal Pradesh,2002,67
Jammu & Kashmir,2002,91
Jharkhand,2002,333
Karnataka,2002,393
Kerala,2002,252
Lakshadweep,2002,0
Madhya Pradesh,2002,507
Maharashtra,2002,1392
Manipur,2002,28
Meghalaya,2002,8
Mizoram,2002,26
Nagaland,2002,10
Odisha,2002,202
Puducherry,2002,11
Punjab,2002,373
Rajasthan,2002,383
Sikkim,2002,1
Tamil Nadu,2002,82
Tripura,2002,12
Uttar Pradesh,2002,262
Uttarakhand,2002,0
West Bengal,2002,451
Andaman & Nicobar Islands,2003,3
Andhra Pradesh,2003,296
Arunachal Pradesh,2003,28
Assam,2003,611
Bihar,2003,1096
Chandigarh,2003,32
Chhattisgarh,2003,70
Dadra & Nagar Haveli,2003,8
Daman & Diu,2003,7
Delhi,2003,431
Goa,2003,43
Gujarat,2003,1545
Haryana,2003,518
Himachal Pradesh,2003,43
Jammu & Kashmir,2003,116
Jharkhand,2003,265
Karnataka,2003,438
Kerala,2003,229
Lakshadweep,2003,0
Madhya Pradesh,2003,393
Maharashtra,2003,1488
Manipur,2003,16
Meghalaya,2003,11
Mizoram,2003,19
Nagaland,2003,3
Odisha,2003,210
Puducherry,2003,12
Punjab,2003,343
Rajasthan,2003,85
Sikkim,2003,5
Tamil Nadu,2003,307
Tripura,2003,3
Uttar Pradesh,2003,143
Uttarakhand,2003,0
West Bengal,2003,378
Andaman & Nicobar Islands,2004,0
Andhra Pradesh,2004,353
Arunachal Pradesh,2004,26
Assam,2004,586
Bihar,2004,1696
Chandigarh,2004,23
Chhattisgarh,2004,84
Dadra & Nagar Haveli,2004,12
Daman & Diu,2004,3
Delhi,2004,445
Goa,2004,34
Gujarat,2004,1419
Haryana,2004,466
Himachal Pradesh,2004,84
Jammu & Kashmir,2004,105
Jharkhand,2004,333
Karnataka,2004,354
Kerala,2004,236
Lakshadweep,2004,0
Madhya Pradesh,2004,424
Maharashtra,2004,1371
Manipur,2004,25
Meghalaya,2004,23
Mizoram,2004,0
Nagaland,2004,10
Odisha,2004,249
Puducherry,2004,7
Punjab,2004,311
Rajasthan,2004,55
Sikkim,2004,4
Tamil Nadu,2004,200
Tripura,2004,17
Uttar Pradesh,2004,172
Uttarakhand,2004,0
West Bengal,2004,425
Andaman & Nicobar Islands,2005,8
Andhra Pradesh,2005,348
Arunachal Pradesh,2005,36
Assam,2005,487
Bihar,2005,1181
Chandigarh,2005,41
Chhattisgarh,2005,105
Dadra & Nagar Haveli,2005,12
Daman & Diu,2005,6
Delhi,2005,394
Goa,2005,42
Gujarat,2005,1242
Haryana,2005,492
Himachal Pradesh,2005,73
Jammu & Kashmir,2005,117
Jharkhand,2005,168
Karnataka,2005,434
Kerala,2005,278
Lakshadweep,2005,0
Madhya Pradesh,2005,489
Maharashtra,2005,1637
Manipur,2005,52
Meghalaya,2005,14
Mizoram,2005,10
Nagaland,2005,16
Odisha,2005,288
Puducherry,2005,8
Punjab,2005,301
Rajasthan,2005,61
Sikkim,2005,4
Tamil Nadu,2005,179
Tripura,2005,32
Uttar Pradesh,2005,356
Uttarakhand,2005,0
West Bengal,2005,528
Andaman & Nicobar Islands,2006,3
Andhra Pradesh,2006,396
Arunachal Pradesh,2006,45
Assam,2006,461
Bihar,2006,1042
Chandigarh,2006,59
Chhattisgarh,2006,130
Dadra & Nagar Haveli,2006,30
Daman & Diu,2006,9
Delhi,2006,442
Goa,2006,25
Gujarat,2006,1118
Haryana,2006,685
Himachal Pradesh,2006,123
Jammu & Kashmir,2006,121
Jharkhand,2006,292
Karnataka,2006,378
Kerala,2006,243
Lakshadweep,2006,0
Madhya Pradesh,2006,362
Maharashtra,2006,1643
Manipur,2006,32
Meghalaya,2006,16
Mizoram,2006,27
Nagaland,2006,16
Odisha,2006,272
Puducherry,2006,6
Punjab,2006,274
Rajasthan,2006,226
Sikkim,2006,10
Tamil Nadu,2006,131
Tripura,2006,23
Uttar Pradesh,2006,599
Uttarakhand,2006,0
West Bengal,2006,519
Andaman & Nicobar Islands,2007,7
Andhra Pradesh,2007,278
Arunachal Pradesh,2007,41
Assam,2007,653
Bihar,2007,1309
Chandigarh,2007,38
Chhattisgarh,2007,140
Dadra & Nagar Haveli,2007,17
Daman & Diu,2007,5
Delhi,2007,451
Goa,2007,25
Gujarat,2007,987
Haryana,2007,676
Himachal Pradesh,2007,104
Jammu & Kashmir,2007,58
Jharkhand,2007,207
Karnataka,2007,320
Kerala,2007,298
Lakshadweep,2007,0
Madhya Pradesh,2007,392
Maharashtra,2007,1621
Manipur,2007,19
Meghalaya,2007,16
Mizoram,2007,19
Nagaland,2007,11
Odisha,2007,319
Puducherry,2007,6
Punjab,2007,313
Rajasthan,2007,320
Sikkim,2007,7
Tamil Nadu,2007,256
Tripura,2007,42
Uttar Pradesh,2007,1566
Uttarakhand,2007,0
West Bengal,2007,669
Andaman & Nicobar Islands,2008,12
Andhra Pradesh,2008,329
Arunachal Pradesh,2008,43
Assam,2008,680
Bihar,2008,1352
Chandigarh,2008,37
Chhattisgarh,2008,146
Dadra & Nagar Haveli,2008,10
Daman & Diu,2008,4
Delhi,2008,355
Goa,2008,40
Gujarat,2008,917
Haryana,2008,763
Himachal Pradesh,2008,109
Jammu & Kashmir,2008,25
Jharkhand,2008,155
Karnataka,2008,360
Kerala,2008,319
Lakshadweep,2008,0
Madhya Pradesh,2008,450
Maharashtra,2008,1761
Manipur,2008,24
Meghalaya,2008,28
Mizoram,2008,28
Nagaland,2008,16
Odisha,2008,278
Puducherry,2008,13
Punjab,2008,236
Rajasthan,2008,255
Sikkim,2008,6
Tamil Nadu,2008,183
Tripura,2008,42
Uttar Pradesh,2008,2008
Uttarakhand,2008,0
West Bengal,2008,853
Andaman & Nicobar Islands,2009,7
Andhra Pradesh,2009,466
Arunachal Pradesh,2009,38
Assam,2009,802
Bihar,2009,1186
Chandigarh,2009,38
Chhattisgarh,2009,166
Dadra & Nagar Haveli,2009,17
Daman & Diu,2009,6
Delhi,2009,333
Goa,2009,46
Gujarat,2009,987
Haryana,2009,761
Himachal Pradesh,2009,88
Jammu & Kashmir,2009,36
Jharkhand,2009,442
Karnataka,2009,389
Kerala,2009,254
Lakshadweep,2009,0
Madhya Pradesh,2009,437
Maharashtra,2009,1735
Manipur,2009,19
Meghalaya,2009,26
Mizoram,2009,30
Nagaland,2009,6
Odisha,2009,175
Puducherry,2009,7
Punjab,2009,222
Rajasthan,2009,295
Sikkim,2009,4
Tamil Nadu,2009,205
Tripura,2009,52
Uttar Pradesh,2009,1176
Uttarakhand,2009,0
West Bengal,2009,896
Andaman & Nicobar Islands,2010,10
Andhra Pradesh,2010,417
Arunachal Pradesh,2010,59
Assam,2010,992
Bihar,2010,1071
Chandigarh,2010,23
Chhattisgarh,2010,196
Dadra & Nagar Haveli,2010,12
Daman & Diu,2010,4
Delhi,2010,273
Goa,2010,45
Gujarat,2010,997
Haryana,2010,743
Himachal Pradesh,2010,71
Jammu & Kashmir,2010,36
Jharkhand,2010,399
Karnataka,2010,380
Kerala,2010,264
Lakshadweep,2010,0
Madhya Pradesh,2010,371
Maharashtra,2010,1812
Manipur,2010,24
Meghalaya,2010,32
Mizoram,2010,25
Nagaland,2010,13
Odisha,2010,239
Puducherry,2010,12
Punjab,2010,227
Rajasthan,2010,241
Sikkim,2010,1
Tamil Nadu,2010,156
Tripura,2010,44
Uttar Pradesh,2010,864
Uttarakhand,2010,0
West Bengal,2010,997
Andaman & Nicobar Islands,2001,0
Andhra Pradesh,2001,203
Arunachal Pradesh,2001,22
Assam,2001,532
Bihar,2001,1290
Chandigarh,2001,5
Chhattisgarh,2001,87
Dadra & Nagar Haveli,2001,0
Daman & Diu,2001,0
Delhi,2001,48
Goa,2001,7
Gujarat,2001,313
Haryana,2001,76
Himachal Pradesh,2001,4
Jammu & Kashmir,2001,24
Jharkhand,2001,503
Karnataka,2001,178
Kerala,2001,140
Lakshadweep,2001,0
Madhya Pradesh,2001,166
Maharashtra,2001,523
Manipur,2001,20
Meghalaya,2001,96
Mizoram,2001,2
Nagaland,2001,9
Odisha,2001,195
Puducherry,2001,1
Punjab,2001,45
Rajasthan,2001,55
Sikkim,2001,0
Tamil Nadu,2001,158
Tripura,2001,26
Uttar Pradesh,2001,622
Uttarakhand,2001,32
West Bengal,2001,274
Andaman & Nicobar Islands,2002,1
Andhra Pradesh,2002,193
Arunachal Pradesh,2002,22
Assam,2002,473
Bihar,2002,1289
Chandigarh,2002,1
Chhattisgarh,2002,144
Dadra & Nagar Haveli,2002,1
Daman & Diu,2002,2
Delhi,2002,47
Goa,2002,5
Gujarat,2002,777
Haryana,2002,61
Himachal Pradesh,2002,0
Jammu & Kashmir,2002,42
Jharkhand,2002,580
Karnataka,2002,178
Kerala,2002,125
Lakshadweep,2002,0
Madhya Pradesh,2002,136
Maharashtra,2002,542
Manipur,2002,3
Meghalaya,2002,64
Mizoram,2002,5
Nagaland,2002,15
Odisha,2002,230
Puducherry,2002,2
Punjab,2002,50
Rajasthan,2002,45
Sikkim,2002,0
Tamil Nadu,2002,174
Tripura,2002,29
Uttar Pradesh,2002,327
Uttarakhand,2002,25
West Bengal,2002,204
Andaman & Nicobar Islands,2003,2
Andhra Pradesh,2003,173
Arunachal Pradesh,2003,37
Assam,2003,471
Bihar,2003,1221
Chandigarh,2003,3
Chhattisgarh,2003,140
Dadra & Nagar Haveli,2003,4
Daman & Diu,2003,4
Delhi,2003,28
Goa,2003,4
Gujarat,2003,330
Haryana,2003,63
Himachal Pradesh,2003,8
Jammu & Kashmir,2003,23
Jharkhand,2003,682
Karnataka,2003,220
Kerala,2003,118
Lakshadweep,2003,0
Madhya Pradesh,2003,153
Maharashtra,2003,504
Manipur,2003,3
Meghalaya,2003,83
Mizoram,2003,5
Nagaland,2003,19
Odisha,2003,176
Puducherry,2003,2
Punjab,2003,30
Rajasthan,2003,34
Sikkim,2003,2
Tamil Nadu,2003,95
Tripura,2003,36
Uttar Pradesh,2003,227
Uttarakhand,2003,18
West Bengal,2003,217
Andaman & Nicobar Islands,2004,0
Andhra Pradesh,2004,152
Arunachal Pradesh,2004,30
Assam,2004,360
Bihar,2004,1319
Chandigarh,2004,0
Chhattisgarh,2004,106
Dadra & Nagar Haveli,2004,3
Daman & Diu,2004,0
Delhi,2004,30
Goa,2004,5
Gujarat,2004,348
Haryana,2004,52
Himachal Pradesh,2004,1
Jammu & Kashmir,2004,28
Jharkhand,2004,580
Karnataka,2004,177
Kerala,2004,114
Lakshadweep,2004,0
Madhya Pradesh,2004,147
Maharashtra,2004,623
Manipur,2004,2
Meghalaya,2004,71
Mizoram,2004,10
Nagaland,2004,9
Odisha,2004,238
Puducherry,2004,0
Punjab,2004,17
Rajasthan,2004,54
Sikkim,2004,0
Tamil Nadu,2004,72
Tripura,2004,27
Uttar Pradesh,2004,254
Uttarakhand,2004,31
West Bengal,2004,212
Andaman & Nicobar Islands,2005,0
Andhra Pradesh,2005,245
Arunachal Pradesh,2005,23
Assam,2005,334
Bihar,2005,1212
Chandigarh,2005,0
Chhattisgarh,2005,204
Dadra & Nagar Haveli,2005,3
Daman & Diu,2005,4
Delhi,2005,27
Goa,2005,2
Gujarat,2005,277
Haryana,2005,87
Himachal Pradesh,2005,6
Jammu & Kashmir,2005,13
Jharkhand,2005,592
Karnataka,2005,208
Kerala,2005,97
Lakshadweep,2005,0
Madhya Pradesh,2005,147
Maharashtra,2005,625
Manipur,2005,4
Meghalaya,2005,63
Mizoram,2005,3
Nagaland,2005,12
Odisha,2005,184
Puducherry,2005,1
Punjab,2005,27
Rajasthan,2005,39
Sikkim,2005,2
Tamil Nadu,2005,73
Tripura,2005,22
Uttar Pradesh,2005,216
Uttarakhand,2005,44
West Bengal,2005,211
Andaman & Nicobar Islands,2006,0
Andhra Pradesh,2006,174
Arunachal Pradesh,2006,28
Assam,2006,319
Bihar,2006,1001
Chandigarh,2006,1
Chhattisgarh,2006,160
Dadra & Nagar Haveli,2006,5
Daman & Diu,2006,8
Delhi,2006,14
Goa,2006,7
Gujarat,2006,280
Haryana,2006,104
Himachal Pradesh,2006,7
Jammu & Kashmir,2006,10
Jharkhand,2006,534
Karnataka,2006,202
Kerala,2006,119
Lakshadweep,2006,0
Madhya Pradesh,2006,151
Maharashtra,2006,659
Manipur,2006,2
Meghalaya,2006,57
Mizoram,2006,4
Nagaland,2006,15
Odisha,2006,239
Puducherry,2006,2
Punjab,2006,35
Rajasthan,2006,35
Sikkim,2006,0
Tamil Nadu,2006,95
Tripura,2006,18
Uttar Pradesh,2006,107
Uttarakhand,2006,30
West Bengal,2006,177
Andaman & Nicobar Islands,2007,5
Andhra Pradesh,2007,138
Arunachal Pradesh,2007,16
Assam,2007,299
Bihar,2007,686
Chandigarh,2007,2
Chhattisgarh,2007,115
Dadra & Nagar Haveli,2007,1
Daman & Diu,2007,3
Delhi,2007,34
Goa,2007,7
Gujarat,2007,232
Haryana,2007,139
Himachal Pradesh,2007,4
Jammu & Kashmir,2007,11
Jharkhand,2007,523
Karnataka,2007,178
Kerala,2007,108
Lakshadweep,2007,0
Madhya Pradesh,2007,143
Maharashtra,2007,709
Manipur,2007,3
Meghalaya,2007,55
Mizoram,2007,0
Nagaland,2007,7
Odisha,2007,247
Puducherry,2007,1
Punjab,2007,37
Rajasthan,2007,71
Sikkim,2007,0
Tamil Nadu,2007,88
Tripura,2007,14
Uttar Pradesh,2007,125
Uttarakhand,2007,33
West Bengal,2007,146
Andaman & Nicobar Islands,2008,0
Andhra Pradesh,2008,108
Arunachal Pradesh,2008,14
Assam,2008,312
Bihar,2008,686
Chandigarh,2008,1
Chhattisgarh,2008,124
Dadra & Nagar Haveli,2008,1
Daman & Diu,2008,2
Delhi,2008,24
Goa,2008,2
Gujarat,2008,245
Haryana,2008,120
Himachal Pradesh,2008,6
Jammu & Kashmir,2008,2
Jharkhand,2008,416
Karnataka,2008,268
Kerala,2008,85
Lakshadweep,2008,0
Madhya Pradesh,2008,160
Maharashtra,2008,795
Manipur,2008,1
Meghalaya,2008,48
Mizoram,2008,2
Nagaland,2008,6
Odisha,2008,303
Puducherry,2008,10
Punjab,2008,40
Rajasthan,2008,59
Sikkim,2008,1
Tamil Nadu,2008,100
Tripura,2008,13
Uttar Pradesh,2008,103
Uttarakhand,2008,10
West Bengal,2008,184
Andaman & Nicobar Islands,2009,0
Andhra Pradesh,2009,101
Arunachal Pradesh,2009,20
Assam,2009,251
Bihar,2009,654
Chandigarh,2009,4
Chhattisgarh,2009,134
Dadra & Nagar Haveli,2009,9
Daman & Diu,2009,0
Delhi,2009,36
Goa,2009,4
Gujarat,2009,243
Haryana,2009,153
Himachal Pradesh,2009,4
Jammu & Kashmir,2009,1
Jharkhand,2009,412
Karnataka,2009,273
Kerala,2009,102
Lakshadweep,2009,3
Madhya Pradesh,2009,117
Maharashtra,2009,772
Manipur,2009,1
Meghalaya,2009,60
Mizoram,2009,2
Nagaland,2009,8
Odisha,2009,380
Puducherry,2009,7
Punjab,2009,37
Rajasthan,2009,53
Sikkim,2009,0
Tamil Nadu,2009,97
Tripura,2009,7
Uttar Pradesh,2009,149
Uttarakhand,2009,24
West Bengal,2009,214
Andaman & Nicobar Islands,2010,1
Andhra Pradesh,2010,133
Arunachal Pradesh,2010,15
Assam,2010,248
Bihar,2010,644
Chandigarh,2010,5
Chhattisgarh,2010,122
Dadra & Nagar Haveli,2010,2
Daman & Diu,2010,6
Delhi,2010,32
Goa,2010,2
Gujarat,2010,180
Haryana,2010,147
Himachal Pradesh,2010,2
Jammu & Kashmir,2010,5
Jharkhand,2010,335
Karnataka,2010,272
Kerala,2010,71
Lakshadweep,2010,0
Madhya Pradesh,2010,110
Maharashtra,2010,765
Manipur,2010,0
Meghalaya,2010,33
Mizoram,2010,3
Nagaland,2010,3
Odisha,2010,346
Puducherry,2010,2
Punjab,2010,65
Rajasthan,2010,36
Sikkim,2010,1
Tamil Nadu,2010,85
Tripura,2010,16
Uttar Pradesh,2010,170
Uttarakhand,2010,9
West Bengal,2010,288
Andaman & Nicobar Islands,2001,0
Andhra Pradesh,2001,360
Arunachal Pradesh,2001,20
Assam,2001,395
Bihar,2001,1164
Chandigarh,2001,2
Chhattisgarh,2001,366
Dadra & Nagar Haveli,2001,12
Daman & Diu,2001,7
Delhi,2001,1714
Goa,2001,34
Gujarat,2001,1243
Haryana,2001,326
Himachal Pradesh,2001,76
Jammu & Kashmir,2001,0
Jharkhand,2001,253
Karnataka,2001,325
Kerala,2001,1
Lakshadweep,2001,0
Madhya Pradesh,2001,1331
Maharashtra,2001,2491
Manipur,2001,91
Meghalaya,2001,32
Mizoram,2001,186
Nagaland,2001,133
Odisha,2001,187
Puducherry,2001,2
Punjab,2001,481
Rajasthan,2001,2341
Sikkim,2001,1
Tamil Nadu,2001,839
Tripura,2001,29
Uttar Pradesh,2001,991
Uttarakhand,2001,0
West Bengal,2001,2113
Andaman & Nicobar Islands,2002,0
Andhra Pradesh,2002,491
Arunachal Pradesh,2002,34
Assam,2002,572
Bihar,2002,1216
Chandigarh,2002,10
Chhattisgarh,2002,92
Dadra & Nagar Haveli,2002,8
Daman & Diu,2002,10
Delhi,2002,2703
Goa,2002,56
Gujarat,2002,1155
Haryana,2002,341
Himachal Pradesh,2002,66
Jammu & Kashmir,2002,0
Jharkhand,2002,182
Karnataka,2002,378
Kerala,2002,400
Lakshadweep,2002,0
Madhya Pradesh,2002,876
Maharashtra,2002,2803
Manipur,2002,93
Meghalaya,2002,32
Mizoram,2002,16
Nagaland,2002,56
Odisha,2002,22
Puducherry,2002,1
