Area_Name,Year,Total_Cases_for_Trial,
Madhya Pradesh,2007,9728,
Maharashtra,2007,11907,
Manipur,2007,54,
Meghalaya,2007,370,
Mizoram,2007,128,
Nagaland,2007,49,
Odisha,2007,3891,
Puducherry,2007,33,
Punjab,2007,798,
Rajasthan,2007,2657,
Sikkim,2007,48,
Tamil Nadu,2007,1715,
Tripura,2007,565,
Uttar Pradesh,2007,5501,
Uttarakhand,2007,375,
West Bengal,2007,9861,
Andaman & Nicobar Islands,2008,39,
Andhra Pradesh,2008,3228,
Arunachal Pradesh,2008,444,
Assam,2008,4375,
Bihar,2008,4329,
Chandigarh,2008,76,
Chhattisgarh,2008,4349,
Dadra & Nagar Haveli,2008,16,
Daman & Diu,2008,2,
Delhi,2008,1680,
Goa,2008,85,
Gujarat,2008,2566,
Haryana,2008,1293,
Himachal Pradesh,2008,505,
Jammu & Kashmir,2008,1120,
Jharkhand,2008,2325,
Karnataka,2008,1461,
Kerala,2008,3435,
Lakshadweep,2008,3,
Madhya Pradesh,2008,9875,
Maharashtra,2008,12441,
Manipur,2008,57,
Meghalaya,2008,396,
Mizoram,2008,162,
Nagaland,2008,38,
Odisha,2008,4163,
Puducherry,2008,32,
Punjab,2008,964,
Rajasthan,2008,2860,
Sikkim,2008,64,
Tamil Nadu,2008,1777,
Tripura,2008,594,
Uttar Pradesh,2008,5785,
Uttarakhand,2008,342,
West Bengal,2008,10716,
Andaman & Nicobar Islands,2009,48,
Andhra Pradesh,2009,3377,
Arunachal Pradesh,2009,488,
Assam,2009,4771,
Bihar,2009,4361,
Chandigarh,2009,76,
Chhattisgarh,2009,4377,
Dadra & Nagar Haveli,2009,15,
Daman & Diu,2009,1,
Delhi,2009,1744,
Goa,2009,86,
Gujarat,2009,2725,
Haryana,2009,1364,
Himachal Pradesh,2009,564,
Jammu & Kashmir,2009,1173,
Jharkhand,2009,2340,
Karnataka,2009,1522,
Kerala,2009,3764,
Lakshadweep,2009,2,
Madhya Pradesh,2009,10083,
Maharashtra,2009,12812,
Manipur,2009,62,
Meghalaya,2009,437,
Mizoram,2009,156,
Nagaland,2009,47,
Odisha,2009,4352,
Puducherry,2009,38,
Punjab,2009,963,
Rajasthan,2009,3150,
Sikkim,2009,76,
Tamil Nadu,2009,1856,
Tripura,2009,677,
Uttar Pradesh,2009,5719,
Uttarakhand,2009,333,
West Bengal,2009,11381,
Andaman & Nicobar Islands,2010,65,
Andhra Pradesh,2010,3616,
Arunachal Pradesh,2010,517,
Assam,2010,5335,
Bihar,2010,4154,
Chandigarh,2010,77,
Chhattisgarh,2010,4487,
Dadra & Nagar Haveli,2010,17,
Daman & Diu,2010,2,
Delhi,2010,1817,
Goa,2010,105,
Gujarat,2010,2931,
Haryana,2010,1479,
Himachal Pradesh,2010,585,
Jammu & Kashmir,2010,1138,
Jharkhand,2010,2300,
Karnataka,2010,1682,
Kerala,2010,4071,
Lakshadweep,2010,2,
Madhya Pradesh,2010,10886,
Maharashtra,2010,13313,
Manipur,2010,66,
Meghalaya,2010,494,
Mizoram,2010,184,
Nagaland,2010,49,
Odisha,2010,4805,
Puducherry,2010,34,
Punjab,2010,947,
Rajasthan,2010,3502,
Sikkim,2010,89,
Tamil Nadu,2010,1930,
Tripura,2010,764,
Uttar Pradesh,2010,5537,
Uttarakhand,2010,343,
West Bengal,2010,12384,
Andaman & Nicobar Islands,2001,18,
Andhra Pradesh,2001,1419,
Arunachal Pradesh,2001,242,
Assam,2001,2062,
Bihar,2001,3220,
Chandigarh,2001,70,
Chhattisgarh,2001,987,
Dadra & Nagar Haveli,2001,7,
Daman & Diu,2001,4,
Delhi,2001,1365,
Goa,2001,42,
Gujarat,2001,4704,
Haryana,2001,881,
Himachal Pradesh,2001,201,
Jammu & Kashmir,2001,2362,
Jharkhand,2001,1134,
Karnataka,2001,860,
Kerala,2001,420,
Lakshadweep,2001,0,
Madhya Pradesh,2001,3075,
Maharashtra,2001,5358,
Manipur,2001,31,
Meghalaya,2001,81,
Mizoram,2001,4,
Nagaland,2001,32,
Odisha,2001,1624,
Puducherry,2001,10,
Punjab,2001,558,
Rajasthan,2001,4956,
Sikkim,2001,0,
Tamil Nadu,2001,1252,
Tripura,2001,37,
Uttar Pradesh,2001,8269,
Uttarakhand,2001,371,
West Bengal,2001,4535,
Andaman & Nicobar Islands,2002,17,
Andhra Pradesh,2002,1566,
Arunachal Pradesh,2002,256,
Assam,2002,2219,
Bihar,2002,3367,
Chandigarh,2002,82,
Chhattisgarh,2002,1048,
Dadra & Nagar Haveli,2002,12,
Daman & Diu,2002,2,
Delhi,2002,477,
Goa,2002,23,
Gujarat,2002,4964,
Haryana,2002,911,
Himachal Pradesh,2002,224,
Jammu & Kashmir,2002,2509,
Jharkhand,2002,922,
Karnataka,2002,846,
Kerala,2002,422,
Lakshadweep,2002,0,
Madhya Pradesh,2002,3299,
Maharashtra,2002,5383,
Manipur,2002,30,
Meghalaya,2002,86,
Mizoram,2002,3,
Nagaland,2002,33,
Odisha,2002,1629,
Puducherry,2002,12,
Punjab,2002,608,
Rajasthan,2002,4777,
Sikkim,2002,2,
Tamil Nadu,2002,1336,
Tripura,2002,52,
Uttar Pradesh,2002,8471,
Uttarakhand,2002,378,
West Bengal,2002,5369,
Andaman & Nicobar Islands,2003,15,
Andhra Pradesh,2003,1684,
Arunachal Pradesh,2003,279,
Assam,2003,2576,
Bihar,2003,3457,
Chandigarh,2003,76,
Chhattisgarh,2003,925,
Dadra & Nagar Haveli,2003,13,
Daman & Diu,2003,1,
Delhi,2003,602,
Goa,2003,25,
Gujarat,2003,5205,
Haryana,2003,831,
Himachal Pradesh,2003,227,
Jammu & Kashmir,2003,2715,
Jharkhand,2003,941,
Karnataka,2003,873,
Kerala,2003,408,
Lakshadweep,2003,0,
Madhya Pradesh,2003,3476,
Maharashtra,2003,5239,
Manipur,2003,31,
Meghalaya,2003,83,
Mizoram,2003,3,
Nagaland,2003,33,
Odisha,2003,1663,
Puducherry,2003,10,
Punjab,2003,658,
Rajasthan,2003,4436,
Sikkim,2003,1,
Tamil Nadu,2003,1057,
Tripura,2003,87,
Uttar Pradesh,2003,7769,
Uttarakhand,2003,374,
West Bengal,2003,5512,
Andaman & Nicobar Islands,2004,18,
Andhra Pradesh,2004,1908,
Arunachal Pradesh,2004,303,
Assam,2004,2824,
Bihar,2004,3564,
Chandigarh,2004,96,
Chhattisgarh,2004,880,
Dadra & Nagar Haveli,2004,12,
Daman & Diu,2004,0,
Delhi,2004,744,
Goa,2004,27,
Gujarat,2004,5388,
Haryana,2004,769,
Himachal Pradesh,2004,203,
Jammu & Kashmir,2004,3009,
Jharkhand,2004,930,
Karnataka,2004,891,
Kerala,2004,467,
Lakshadweep,2004,0,
Madhya Pradesh,2004,3169,
Maharashtra,2004,5392,
Manipur,2004,30,
Meghalaya,2004,89,
Mizoram,2004,1,
Nagaland,2004,42,
Odisha,2004,1658,
Puducherry,2004,13,
Punjab,2004,724,
Rajasthan,2004,4257,
Sikkim,2004,3,
Tamil Nadu,2004,1125,
Tripura,2004,78,
Uttar Pradesh,2004,8033,
Uttarakhand,2004,393,
West Bengal,2004,5770,
Andaman & Nicobar Islands,2005,16,
Andhra Pradesh,2005,2062,
Arunachal Pradesh,2005,329,
Assam,2005,3024,
Bihar,2005,3624,
Chandigarh,2005,88,
Chhattisgarh,2005,685,
Dadra & Nagar Haveli,2005,11,
Daman & Diu,2005,1,
Delhi,2005,896,
Goa,2005,28,
Gujarat,2005,5519,
Haryana,2005,725,
Himachal Pradesh,2005,209,
Jammu & Kashmir,2005,3236,
Jharkhand,2005,916,
Karnataka,2005,893,
Kerala,2005,508,
Lakshadweep,2005,0,
Madhya Pradesh,2005,3073,
Maharashtra,2005,5505,
Manipur,2005,30,
Meghalaya,2005,90,
Mizoram,2005,2,
Nagaland,2005,42,
Odisha,2005,1667,
Puducherry,2005,13,
Punjab,2005,716,
Rajasthan,2005,4077,
Sikkim,2005,5,
Tamil Nadu,2005,1189,
Tripura,2005,71,
Uttar Pradesh,2005,8079,
Uttarakhand,2005,421,
West Bengal,2005,6199,
Andaman & Nicobar Islands,2006,23,
Andhra Pradesh,2006,2340,
Arunachal Pradesh,2006,347,
Assam,2006,3220,
Bihar,2006,3823,
Chandigarh,2006,102,
Chhattisgarh,2006,767,
Dadra & Nagar Haveli,2006,15,
Daman & Diu,2006,2,
Delhi,2006,1077,
Goa,2006,35,
Gujarat,2006,5788,
Haryana,2006,845,
Himachal Pradesh,2006,200,
Jammu & Kashmir,2006,3588,
Jharkhand,2006,1063,
Karnataka,2006,872,
Kerala,2006,605,
Lakshadweep,2006,0,
Madhya Pradesh,2006,2732,
Maharashtra,2006,5689,
Manipur,2006,27,
Meghalaya,2006,97,
Mizoram,2006,2,
Nagaland,2006,7,
Odisha,2006,1842,
Puducherry,2006,19,
Punjab,2006,790,
Rajasthan,2006,4065,
Sikkim,2006,9,
Tamil Nadu,2006,1163,
Tripura,2006,55,
Uttar Pradesh,2006,8461,
Uttarakhand,2006,476,
West Bengal,2006,6638,
Andaman & Nicobar Islands,2007,26,
Andhra Pradesh,2007,2789,
Arunachal Pradesh,2007,369,
Assam,2007,3385,
Bihar,2007,4027,
Chandigarh,2007,96,
Chhattisgarh,2007,786,
Dadra & Nagar Haveli,2007,19,
Daman & Diu,2007,2,
Delhi,2007,1243,
Goa,2007,35,
Gujarat,2007,6094,
Haryana,2007,970,
Himachal Pradesh,2007,209,
Jammu & Kashmir,2007,3861,
Jharkhand,2007,1241,
Karnataka,2007,913,
Kerala,2007,679,
Lakshadweep,2007,0,
Madhya Pradesh,2007,2680,
Maharashtra,2007,6017,
Manipur,2007,27,
Meghalaya,2007,96,
Mizoram,2007,0,
Nagaland,2007,8,
Odisha,2007,1965,
Puducherry,2007,26,
Punjab,2007,905,
Rajasthan,2007,4020,
Sikkim,2007,11,
Tamil Nadu,2007,1240,
Tripura,2007,101,
Uttar Pradesh,2007,8601,
Uttarakhand,2007,479,
West Bengal,2007,6804,
Andaman & Nicobar Islands,2008,31,
Andhra Pradesh,2008,3074,
Arunachal Pradesh,2008,388,
Assam,2008,3258,
Bihar,2008,4180,
Chandigarh,2008,83,
Chhattisgarh,2008,896,
Dadra & Nagar Haveli,2008,22,
Daman & Diu,2008,2,
Delhi,2008,1542,
Goa,2008,39,
Gujarat,2008,6520,
Haryana,2008,1076,
Himachal Pradesh,2008,234,
Jammu & Kashmir,2008,3846,
Jharkhand,2008,1133,
Karnataka,2008,963,
Kerala,2008,766,
Lakshadweep,2008,0,
Madhya Pradesh,2008,2656,
Maharashtra,2008,6380,
Manipur,2008,22,
Meghalaya,2008,94,
Mizoram,2008,1,
Nagaland,2008,10,
Odisha,2008,2267,
Puducherry,2008,26,
Punjab,2008,1056,
Rajasthan,2008,4153,
Sikkim,2008,16,
Tamil Nadu,2008,1381,
Tripura,2008,179,
Uttar Pradesh,2008,9447,
Uttarakhand,2008,536,
West Bengal,2008,7466,
Andaman & Nicobar Islands,2009,32,
Andhra Pradesh,2009,3358,
Arunachal Pradesh,2009,410,
Assam,2009,3530,
Bihar,2009,4334,
Chandigarh,2009,70,
Chhattisgarh,2009,810,
Dadra & Nagar Haveli,2009,31,
Daman & Diu,2009,2,
Delhi,2009,1681,
Goa,2009,46,
Gujarat,2009,6953,
Haryana,2009,1172,
Himachal Pradesh,2009,258,
Jammu & Kashmir,2009,4017,
Jharkhand,2009,1188,
Karnataka,2009,1001,
Kerala,2009,791,
Lakshadweep,2009,1,
Madhya Pradesh,2009,2671,
Maharashtra,2009,6624,
Manipur,2009,23,
Meghalaya,2009,95,
Mizoram,2009,1,
Nagaland,2009,13,
Odisha,2009,2403,
Puducherry,2009,35,
Punjab,2009,1157,
Rajasthan,2009,4476,
Sikkim,2009,17,
Tamil Nadu,2009,1415,
Tripura,2009,216,
Uttar Pradesh,2009,10148,
Uttarakhand,2009,597,
West Bengal,2009,8111,
Andaman & Nicobar Islands,2010,37,
Andhra Pradesh,2010,3614,
Arunachal Pradesh,2010,421,
Assam,2010,4053,
Bihar,2010,4833,
Chandigarh,2010,47,
Chhattisgarh,2010,881,
Dadra & Nagar Haveli,2010,31,
Daman & Diu,2010,2,
Delhi,2010,1820,
Goa,2010,44,
Gujarat,2010,7636,
Haryana,2010,1319,
Himachal Pradesh,2010,267,
Jammu & Kashmir,2010,3981,
Jharkhand,2010,1149,
Karnataka,2010,1180,
Kerala,2010,875,
Lakshadweep,2010,1,
Madhya Pradesh,2010,3108,
Maharashtra,2010,6996,
Manipur,2010,25,
Meghalaya,2010,91,
Mizoram,2010,0,
Nagaland,2010,20,
Odisha,2010,2938,
Puducherry,2010,45,
Punjab,2010,1081,
Rajasthan,2010,4919,
Sikkim,2010,23,
Tamil Nadu,2010,1721,
Tripura,2010,235,
Uttar Pradesh,2010,10695,
Uttarakhand,2010,651,
West Bengal,2010,9767,
Andaman & Nicobar Islands,2001,2,
Andhra Pradesh,2001,1497,
Arunachal Pradesh,2001,0,
Assam,2001,115,
Bihar,2001,2726,
Chandigarh,2001,9,
Chhattisgarh,2001,259,
Dadra & Nagar Haveli,2001,3,
Daman & Diu,2001,0,
Delhi,2001,595,
Goa,2001,11,
Gujarat,2001,507,
Haryana,2001,972,
Himachal Pradesh,2001,30,
Jammu & Kashmir,2001,23,
Jharkhand,2001,586,
Karnataka,2001,762,
Kerala,2001,133,
Lakshadweep,2001,0,
Madhya Pradesh,2001,2257,
Maharashtra,2001,3433,
Manipur,2001,0,
Meghalaya,2001,0,
Mizoram,2001,0,
Nagaland,2001,0,
Odisha,2001,917,
Puducherry,2001,10,
Punjab,2001,465,
Rajasthan,2001,1593,
Sikkim,2001,0,
Tamil Nadu,2001,705,
Tripura,2001,40,
Uttar Pradesh,2001,8854,
Uttarakhand,2001,201,
West Bengal,2001,1264,
Andaman & Nicobar Islands,2002,2,
Andhra Pradesh,2002,1517,
Arunachal Pradesh,2002,0,
Assam,2002,130,
Bihar,2002,2959,
Chandigarh,2002,7,
Chhattisgarh,2002,296,
Dadra & Nagar Haveli,2002,2,
Daman & Diu,2002,0,
Delhi,2002,627,
Goa,2002,8,
Gujarat,2002,540,
Haryana,2002,888,
Himachal Pradesh,2002,33,
Jammu & Kashmir,2002,26,
Jharkhand,2002,693,
Karnataka,2002,834,
Kerala,2002,136,
Lakshadweep,2002,0,
Madhya Pradesh,2002,2334,
Maharashtra,2002,3372,
Manipur,2002,0,
Meghalaya,2002,0,
Mizoram,2002,0,
Nagaland,2002,0,
Odisha,2002,966,
Puducherry,2002,7,
Punjab,2002,463,
Rajasthan,2002,1614,
Sikkim,2002,0,
Tamil Nadu,2002,801,
Tripura,2002,49,
Uttar Pradesh,2002,9044,
Uttarakhand,2002,186,
West Bengal,2002,1373,
Andaman & Nicobar Islands,2003,2,
Andhra Pradesh,2003,1451,
Arunachal Pradesh,2003,0,
Assam,2003,146,
Bihar,2003,3228,
Chandigarh,2003,4,
Chhattisgarh,2003,300,
Dadra & Nagar Haveli,2003,2,
Daman & Diu,2003,0,
Delhi,2003,723,
Goa,2003,10,
Gujarat,2003,544,
Haryana,2003,806,
Himachal Pradesh,2003,36,
Jammu & Kashmir,2003,35,
Jharkhand,2003,686,
Karnataka,2003,867,
Kerala,2003,143,
Lakshadweep,2003,0,
Madhya Pradesh,2003,2325,
Maharashtra,2003,3415,
Manipur,2003,0,
Meghalaya,2003,0,
Mizoram,2003,0,
Nagaland,2003,0,
Odisha,2003,1082,
Puducherry,2003,6,
Punjab,2003,448,
Rajasthan,2003,1554,
Sikkim,2003,0,
Tamil Nadu,2003,815,
Tripura,2003,50,
Uttar Pradesh,2003,8259,
Uttarakhand,2003,216,
West Bengal,2003,1416,
Andaman & Nicobar Islands,2004,2,
Andhra Pradesh,2004,1458,
Arunachal Pradesh,2004,0,
Assam,2004,183,
Bihar,2004,3212,
Chandigarh,2004,8,
Chhattisgarh,2004,332,
Dadra & Nagar Haveli,2004,2,
Daman & Diu,2004,0,
Delhi,2004,809,
Goa,2004,9,
Gujarat,2004,551,
Haryana,2004,804,
Himachal Pradesh,2004,36,
Jammu & Kashmir,2004,31,
Jharkhand,2004,713,
Karnataka,2004,916,
Kerala,2004,171,
Lakshadweep,2004,0,
Madhya Pradesh,2004,2390,
Maharashtra,2004,3327,
Manipur,2004,0,
Meghalaya,2004,0,
Mizoram,2004,0,
Nagaland,2004,0,
Odisha,2004,1194,
Puducherry,2004,9,
Punjab,2004,366,
Rajasthan,2004,1581,
Sikkim,2004,0,
Tamil Nadu,2004,783,
Tripura,2004,60,
Uttar Pradesh,2004,8198,
Uttarakhand,2004,243,
West Bengal,2004,1542,
Andaman & Nicobar Islands,2005,1,
Andhra Pradesh,2005,1522,
Arunachal Pradesh,2005,0,
Assam,2005,212,
Bihar,2005,3451,
Chandigarh,2005,10,
Chhattisgarh,2005,333,
Dadra & Nagar Haveli,2005,2,
Daman & Diu,2005,2,
Delhi,2005,832,
Goa,2005,8,
Gujarat,2005,544,
Haryana,2005,706,
Himachal Pradesh,2005,30,
Jammu & Kashmir,2005,25,
Jharkhand,2005,681,
Karnataka,2005,915,
Kerala,2005,176,
Lakshadweep,2005,0,
Madhya Pradesh,2005,2335,
Maharashtra,2005,3341,
Manipur,2005,0,
Meghalaya,2005,0,
Mizoram,2005,4,
Nagaland,2005,0,
Odisha,2005,1216,
Puducherry,2005,10,
Punjab,2005,360,
Rajasthan,2005,1565,
Sikkim,2005,0,
Tamil Nadu,2005,813,
Tripura,2005,79,
Uttar Pradesh,2005,8062,
Uttarakhand,2005,248,
West Bengal,2005,1737,
Andaman & Nicobar Islands,2006,1,
Andhra Pradesh,2006,1398,
Arunachal Pradesh,2006,0,
Assam,2006,248,
Bihar,2006,3696,
Chandigarh,2006,13,
Chhattisgarh,2006,367,
Dadra & Nagar Haveli,2006,1,
Daman & Diu,2006,2,
Delhi,2006,841,
Goa,2006,7,
Gujarat,2006,522,
Haryana,2006,673,
Himachal Pradesh,2006,30,
Jammu & Kashmir,2006,31,
Jharkhand,2006,755,
Karnataka,2006,804,
Kerala,2006,163,
Lakshadweep,2006,0,
Madhya Pradesh,2006,2313,
Maharashtra,2006,3413,
Manipur,2006,0,
Meghalaya,2006,3,
Mizoram,2006,2,
Nagaland,2006,0,
Odisha,2006,1323,
Puducherry,2006,17,
Punjab,2006,401,
Rajasthan,2006,1626,
Sikkim,2006,0,
Tamil Nadu,2006,740,
Tripura,2006,88,
Uttar Pradesh,2006,8125,
Uttarakhand,2006,256,
West Bengal,2006,1854,
Andaman & Nicobar Islands,2007,1,
Andhra Pradesh,2007,1617,
Arunachal Pradesh,2007,0,
Assam,2007,267,
Bihar,2007,4073,
Chandigarh,2007,12,
Chhattisgarh,2007,398,
Dadra & Nagar Haveli,2007,1,
Daman & Diu,2007,3,
Delhi,2007,844,
Goa,2007,5,
Gujarat,2007,525,
Haryana,2007,711,
Himachal Pradesh,2007,30,
Jammu & Kashmir,2007,36,
Jharkhand,2007,714,
Karnataka,2007,709,
Kerala,2007,165,
Lakshadweep,2007,0,
Madhya Pradesh,2007,2366,
Maharashtra,2007,3517,
Manipur,2007,0,
Meghalaya,2007,4,
Mizoram,2007,0,
Nagaland,2007,0,
Odisha,2007,1446,
Puducherry,2007,16,
Punjab,2007,449,
Rajasthan,2007,1659,
Sikkim,2007,0,
Tamil Nadu,2007,765,
Tripura,2007,90,
Uttar Pradesh,2007,8463,
Uttarakhand,2007,296,
West Bengal,2007,2049,
Andaman & Nicobar Islands,2008,3,
Andhra Pradesh,2008,1532,
Arunachal Pradesh,2008,0,
Assam,2008,291,
Bihar,2008,4209,
Chandigarh,2008,11,
Chhattisgarh,2008,401,
Dadra & Nagar Haveli,2008,1,
Daman & Diu,2008,3,
Delhi,2008,820,
Goa,2008,8,
Gujarat,2008,520,
Haryana,2008,746,
Himachal Pradesh,2008,31,
Jammu & Kashmir,2008,47,
Jharkhand,2008,644,
Karnataka,2008,745,
Kerala,2008,162,
Lakshadweep,2008,0,
Madhya Pradesh,2008,2458,
Maharashtra,2008,3626,
Manipur,2008,0,
Meghalaya,2008,5,
Mizoram,2008,0,
Nagaland,2008,0,
Odisha,2008,1605,
Puducherry,2008,12,
Punjab,2008,440,
Rajasthan,2008,1760,
Sikkim,2008,0,
Tamil Nadu,2008,734,
Tripura,2008,90,
Uttar Pradesh,2008,8724,
Uttarakhand,2008,289,
West Bengal,2008,2033,
Andaman & Nicobar Islands,2009,4,
Andhra Pradesh,2009,1583,
Arunachal Pradesh,2009,0,
Assam,2009,342,
Bihar,2009,4220,
Chandigarh,2009,10,
Chhattisgarh,2009,460,
Dadra & Nagar Haveli,2009,1,
Daman & Diu,2009,1,
Delhi,2009,938,
Goa,2009,10,
Gujarat,2009,523,
Haryana,2009,756,
Himachal Pradesh,2009,25,
Jammu & Kashmir,2009,63,
Jharkhand,2009,700,
Karnataka,2009,763,
Kerala,2009,172,
Lakshadweep,2009,0,
Madhya Pradesh,2009,2697,
Maharashtra,2009,3682,
Manipur,2009,0,
Meghalaya,2009,5,
Mizoram,2009,0,
Nagaland,2009,0,
Odisha,2009,1700,
Puducherry,2009,15,
Punjab,2009,452,
Rajasthan,2009,1822,
Sikkim,2009,0,
Tamil Nadu,2009,740,
Tripura,2009,102,
Uttar Pradesh,2009,8723,
Uttarakhand,2009,318,
West Bengal,2009,2075,
Andaman & Nicobar Islands,2010,4,
